No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
292,진도홍주 루비콘,리큐르 및 기타주류,국내산 쌀/ 국내산 지초,40%,375ml / 500ml / 700ml,"2007 남북정상회담 만찬주 (40%)

 2010 대한민국우리술품평회 우수상 (40%

 리큐르 부문)",보리맛/ 쌀맛/ 누룩맛,보리향/ 쌀향/ 누룩향,,,부드러움,붉은색,"채소스틱, 돼지고기 샤브샤브와 잘 어울린다.",,전남 진도군 군내면 둔전리 98
293,진도홍주 아라리,리큐르 및 기타주류,국내산 쌀/ 국내산 지초,35%,375ml / 500ml / 700ml,"2011 대한민국우리술품평회 장려상 (35%

 리큐르 부문)",보리맛/ 쌀맛/ 누룩맛,보리향/ 쌀향/ 누룩향,,,부드러움,붉은색,"채소스틱, 돼지고기 샤브샤브와 잘 어울린다.",,전남 진도군 군내면 둔전리 98
294,"진도홍주, 만홍",증류주,"국내산 쌀, 국내산 지초",40%,400ml / 500ml,"2004 청와대 국가안전보장회의 기념주

 2005 한미우호의 밤 만찬주

 2013 대한민국우리술품평회 장려상 (38%

 일반증류주 부문)

 2014 대한민국우리술품평회 장려상 (38%

 일반증류주 부문)",깨끗한맛/향긋한맛/감칠맛,,낮은당도,,부드러움/청량감,붉은색,"두부스테이크, 문어회와 잘 어울린다.",,전남 진도군 군내면 둔전리 98
295,진심홍삼인삼주(19%),증류주,"국내산 쌀, 국내산 지초",19%,375ml,"2013 대한민국우리술품평회 최우수상 (19%

 일반증류주 부문)

 2014 대한민국우리술품평회 우수상 (19%

 일반증류주 부문)

 2014 SWSC 동상

 2014 IWSC 은상

 2014 Monde-selection 금상",,홍삼향/인삼향,,,부드러움,,"구절판, 삼겹살구이와 잘 어울린다.",,전라북도 진안군 진안읍 거북바위로3길 15-35
296,진심홍삼인삼주(38%),증류주,"국내산 쌀, 국내산 지초",38%,750ml,"2011 대한민국우리술품평회 최우수상 (38%

 일반증류주 부문)

 2012 대한민국우리술품평회 장려상 (38%

 일반증류주 부문)

2014 SWSC 동상

 2014 IWSC 은상

 2014 Monde-selection 금상",,홍삼향/인삼향,,,부드러움,,"구절판, 삼겹살구이와 잘 어울린다.",,전라북도 진안군 진안읍 거북바위로3길 15-35
297,진쾌남,리큐르 및 기타주류,국내산 쌀/ 밤/ 누룩/ 구기자/ 오미자/ 산수유/ 오가피/ 동충하초/ 정제수,25%,330ml,없음,약재맛/ 쓴맛,약재향,적당한당도,,깔끔함,,삼계탕 등 보양음식과 잘 어울린다.,,충남 공주시 사곡면 마곡사로 49
298,징기스칸,증류주,레드와인,40%,375ml,없음,깔끔한맛/ 감미로운맛,스모키향,,,,연갈색,굴 요리와 잘 어울립니다.,,경북 영천시 고경면 고도리 494-3
299,참동이 허브잎술,탁주,쌀/ 로즈마리 허브,6%,900ml,2011 대한민국우리술품평회 대상 (생막걸리 부문),,허브향,적당한당도,적당한산도,부드러움/묵직함,,굴전을 함께 먹으면 정말 잘 어울린다.,,
300,천마이야기 막걸리,탁주,쌀,6%,750ml,2014 대한민국우리술품평회 장려상 (생막걸리 부문),담백한맛,,낮은당도,낮은산도,청량감/부드러움/깔끔함,흰색,"도토리묵, 골뱅이무침과 잘 어울린다.",,
301,천매,과실주, 매실,30%, 600ml,없음,,매실향/알코올향,높은당도,높은산도,,,기름진 중국음식,,서울시 은평구 증산로7길 28-13
